0	47
1	2
1	3
1	12
1	17
1	29
1	31
1	37
1	38
1	51
1	53
1	56
1	58
1	66
1	70
2	3
2	17
2	21
2	23
2	35
2	38
2	39
2	46
2	53
2	60
2	70
3	6
3	14
3	17
3	20
3	21
3	23
3	24
3	34
3	38
3	39
3	43
3	46
3	49
3	51
3	53
3	58
3	60
3	64
3	70
5	13
5	21
5	31
5	43
5	54
5	55
5	68
5	74
5	75
5	76
5	77
5	78
5	79
6	14
6	17
6	18
6	21
6	29
6	30
6	31
6	34
6	38
6	39
6	40
6	47
6	49
6	51
6	53
6	56
6	58
6	59
6	64
7	9
7	11
7	12
7	26
7	32
7	33
7	36
7	37
7	41
7	46
7	63
7	66
7	70
8	28
8	65
9	11
9	12
9	19
9	32
9	36
9	37
9	41
9	53
9	58
9	63
9	66
10	24
10	42
11	12
11	32
11	36
11	37
11	41
11	53
11	63
11	66
12	32
12	36
12	37
12	41
12	53
12	63
12	66
13	16
13	21
13	28
13	43
13	54
13	55
13	76
13	77
14	16
14	17
14	18
14	19
14	23
14	24
14	31
14	34
14	38
14	39
14	46
14	49
14	51
14	53
14	58
14	64
14	73
15	57
15	74
15	75
15	76
16	17
16	18
16	19
16	23
16	24
16	26
16	28
16	38
16	39
16	46
16	50
16	51
16	53
16	58
16	64
16	70
16	78
17	18
17	20
17	21
17	23
17	24
17	28
17	35
17	38
17	39
17	46
17	49
17	51
17	53
17	58
17	60
17	64
17	70
18	19
18	21
18	23
18	31
18	34
18	35
18	38
18	39
18	46
18	49
18	51
18	53
18	58
18	59
18	60
18	64
19	38
19	39
19	53
19	58
19	64
19	70
20	25
20	26
21	27
21	29
21	31
21	34
21	38
21	39
21	43
21	46
21	49
21	53
21	55
21	56
21	58
21	59
21	64
21	68
21	76
21	77
21	78
21	79
22	72
23	24
23	26
23	35
23	38
23	39
23	46
23	50
23	51
23	53
23	58
23	60
23	64
23	70
24	38
24	39
24	46
24	51
24	53
24	58
24	64
24	70
25	26
25	73
26	39
26	46
26	50
26	51
27	51
28	38
29	30
29	31
29	34
29	40
29	56
29	59
30	31
30	40
30	56
30	59
31	34
31	39
31	56
31	58
31	59
32	36
32	37
32	41
32	45
32	63
32	66
33	62
33	71
33	72
34	39
34	40
34	49
34	56
34	58
34	59
35	38
35	39
35	46
35	53
35	70
36	37
36	41
36	58
36	63
36	66
37	41
37	45
37	53
37	63
37	66
37	69
38	39
38	46
38	49
38	51
38	53
38	58
38	60
38	64
38	70
39	46
39	49
39	51
39	53
39	58
39	60
39	64
39	70
39	73
40	56
40	59
41	45
41	53
41	63
41	66
41	69
42	47
43	54
43	55
44	62
44	72
45	63
46	51
46	53
46	58
46	60
46	64
46	65
46	66
46	70
47	76
49	51
49	58
49	64
49	73
51	53
51	58
51	60
51	64
51	70
52	61
53	58
53	63
53	64
53	66
53	70
54	55
55	68
55	74
55	75
55	76
55	77
55	78
55	79
56	59
58	60
58	64
63	66
63	69
64	70
66	69
71	72
74	75
74	76
74	77
74	78
75	76
75	77
75	78
75	79
76	77
76	78
76	79
77	78
78	79
